C.O.;Desc. C.O.;REF_Combinada;Nro documento;Fecha;Cantidad inv.;Suma de Vlr_Bruto;Suma de Vlr_Subtotal
11;ADMINISTRACION;D00903:00065:00065;FSV-00001157;4/03/2019;1;1275966;637983
11;ADMINISTRACION;XY0864:00044:;FSV-00001157;4/03/2019;1;1033225;516612
11;ADMINISTRACION;XZ0989:00024:;FSV-00001158;4/03/2019;1;802183;320874
11;ADMINISTRACION;XZ0930:00139:;FSV-00001158;4/03/2019;1;179250;53775
11;ADMINISTRACION;XA0682:00029:;FSV-00001159;5/03/2019;1;2006454;1304195
11;ADMINISTRACION;XZ0817:00005:;FSV-00001159;5/03/2019;4;1223062;366918
11;ADMINISTRACION;XA0416:00040:;FSV-00001162;7/03/2019;1;826363;537136
11;ADMINISTRACION;XA0710:00118:;FSV-00001163;12/03/2019;1;3826751;1913375
11;ADMINISTRACION;XA0377:00123:;FSV-00001164;15/03/2019;2;484034;242017
11;ADMINISTRACION;XA0697:00058:;FSV-00001164;15/03/2019;1;1189388;594694
11;ADMINISTRACION;XA0346:00009:;FSV-00001166;15/03/2019;1;1735478;867738
11;ADMINISTRACION;XA0680:00005:;FSV-00001168;18/03/2019;1;2006454;1003227
11;ADMINISTRACION;XY0864:00044:;FSV-00001168;18/03/2019;1;1045737;470582
11;ADMINISTRACION;XZ0927:00136:;FSV-00001169;18/03/2019;1;195658;58698
11;ADMINISTRACION;XA0595:00023:;FSV-00001170;20/03/2019;1;1343502;537401
11;ADMINISTRACION;XA0695:00012:;FSV-00001172;21/03/2019;1;893590;446794
11;ADMINISTRACION;D00964:00063:00063;FSV-00001173;21/03/2019;1;1263456;570756
11;ADMINISTRACION;XA0693:00118:;FSV-00001173;21/03/2019;1;805378;402689
11;ADMINISTRACION;XA0396:00108:;FSV-00001174;22/03/2019;4;761176;380588
11;ADMINISTRACION;XA0692:00183:;FSV-00001174;22/03/2019;1;361981;180990
11;ADMINISTRACION;XA0140:00029:;FSV-00001175;26/03/2019;1;644114;257646
11;ADMINISTRACION;XA0272:00016:;FSV-00001176;26/03/2019;1;248157;74447
11;ADMINISTRACION;XZ0529:00007:;FSV-00001176;26/03/2019;1;200000;80000
11;ADMINISTRACION;D01291:00396:00396;FSV-00001177;26/03/2019;2;940686;611446
11;ADMINISTRACION;XA0231:00001:;FSV-00001178;26/03/2019;1;1613410;806705
11;ADMINISTRACION;XA0346:00009:;FSV-00001178;26/03/2019;1;1735478;867738
11;ADMINISTRACION;XZ0972:00024:;FSV-00001178;26/03/2019;2;1008336;302501
11;ADMINISTRACION;XZ0900:00035:;FSV-00001180;27/03/2019;2;1125914;225183
11;ADMINISTRACION;XR0535:00004:;FSV-00001181;28/03/2019;1;363564;90891
11;ADMINISTRACION;XR0535:00004:;FSV-00001182;28/03/2019;1;363564;90891
11;ADMINISTRACION;XY0138:00045:;FSV-00001182;28/03/2019;1;134431;60494
11;ADMINISTRACION;XA0228:00001:;FSV-00001187;28/03/2019;1;988070;247018
11;ADMINISTRACION;XA0052:00024:;FSV-00001188;28/03/2019;1;362541;108762
11;ADMINISTRACION;XA0350:00159:;FSV-00001189;28/03/2019;1;576211;172863
11;ADMINISTRACION;XZ0900:00035:;FSV-00001191;28/03/2019;1;562958;112592
11;ADMINISTRACION;XZ0232:00026:;FSV-00001192;28/03/2019;1;174007;34802
11;ADMINISTRACION;XY0141:00005:;FSV-00001193;28/03/2019;1;443698;66554
11;ADMINISTRACION;XZ0504:00005:;FSV-00001193;28/03/2019;4;601557;90234
11;ADMINISTRACION;XZ0565:00001:;FSV-00001195;28/03/2019;2;433897;86779
11;ADMINISTRACION;XZ0566:00009:;FSV-00001195;28/03/2019;6;1301691;260338
11;ADMINISTRACION;XZ0896:00024:;FSV-00001195;28/03/2019;2;433897;86779
11;ADMINISTRACION;XA0172:00015:;FSV-00001196;28/03/2019;1;509511;203805
11;ADMINISTRACION;XZ0599:00005:;FSV-00001196;28/03/2019;6;1107433;221486
11;ADMINISTRACION;XZ0903:00005:;FSV-00001196;28/03/2019;1;268874;53775
11;ADMINISTRACION;D00935:00048:00048;FSV-00001199;29/03/2019;1;536470;268235
11;ADMINISTRACION;XZ0861:00026:;FSV-00001200;29/03/2019;1;440009;132002
11;ADMINISTRACION;XA0667:00189:;FSV-00001201;29/03/2019;2;928764;278629
11;ADMINISTRACION;XA0578:00187:;FSV-00001202;29/03/2019;1;722948;289179
11;ADMINISTRACION;D00529:00063:00063;FSV-00001203;29/03/2019;1;1262522;631261
11;ADMINISTRACION;XA0416:00040:;FSV-00001203;29/03/2019;1;826363;413182
11;ADMINISTRACION;XR0535:00004:;FSV-00001204;29/03/2019;1;363564;90891
11;ADMINISTRACION;XA0403:00001:;FSV-00001207;29/03/2019;1;440584;132175
11;ADMINISTRACION;XA0346:00009:;FSV-00001208;29/03/2019;1;1735478;520643
11;ADMINISTRACION;XZ0531:00009:;FSV-00001210;29/03/2019;1;385317;77063
11;ADMINISTRACION;XA0517:00001:;FSV-00001210;29/03/2019;1;144786;66555
11;ADMINISTRACION;XR0535:00004:;FSV-00001210;29/03/2019;1;363564;90891
11;ADMINISTRACION;XZ0266:00046:;FSV-00001210;29/03/2019;1;109370;27342
11;ADMINISTRACION;XZ0923:00040:;FSV-00001214;29/03/2019;4;916090;366436
11;ADMINISTRACION;XR0535:00004:;FSV-00001216;29/03/2019;1;363564;90891
11;ADMINISTRACION;XA0578:00187:;FSV-00001218;29/03/2019;1;722948;216884
11;ADMINISTRACION;XA0253:00167:;FSV-00001220;29/03/2019;1;285322;142661
11;ADMINISTRACION;XA0532:00009:;FSV-00001220;29/03/2019;1;3361345;1680672
11;ADMINISTRACION;XA0550:00029:;FSV-00001229;1/04/2019;1;878086;439043
11;ADMINISTRACION;XZ0492:00005:;FSV-00001229;1/04/2019;1;345911;172955
11;ADMINISTRACION;XA0418:00066:;FSV-00001230;1/04/2019;1;723972;361986
11;ADMINISTRACION;XZ0238:00009:;FSV-00001230;1/04/2019;6;1115633;390471
11;ADMINISTRACION;XA0171:00005:;FSV-00001231;1/04/2019;1;1031024;515512
11;ADMINISTRACION;XY0381:00030:;FSV-00001232;1/04/2019;3;783050;156610
11;ADMINISTRACION;XZ0247:00005:;FSV-00001256;2/04/2019;6;984371;639842
11;ADMINISTRACION;XY0383:00012:;FSV-00001257;4/04/2019;1;169034;24206
11;ADMINISTRACION;XA0664:00185:;FSV-00001261;8/04/2019;1;722947;469916
11;ADMINISTRACION;XA0515:00001:;FSV-00001262;11/04/2019;2;413682;213782
11;ADMINISTRACION;D01301:00382:00129;FSV-00001264;15/04/2019;1;1401578;911026
11;ADMINISTRACION;XA0377:00123:;FSV-00001264;15/04/2019;1;242017;121008
11;ADMINISTRACION;XA0666:00189:;FSV-00001264;15/04/2019;1;175814;114279
11;ADMINISTRACION;XZ0737:00001:;FSV-00001264;15/04/2019;1;1045737;470582
11;ADMINISTRACION;XZ0526:00005:;FSV-00001266;16/04/2019;1;774661;309864
11;ADMINISTRACION;D00921:00130:00129;FSV-00001267;16/04/2019;1;1649040;840458
11;ADMINISTRACION;XA0705:00036:;FSV-00001267;16/04/2019;1;260622;122612
11;ADMINISTRACION;XA0237:00005:;FSV-00001268;16/04/2019;1;805634;369075
11;ADMINISTRACION;XA0369:00046:;FSV-00001269;17/04/2019;2;328124;164062
11;ADMINISTRACION;XZ0598:00009:;FSV-00001269;17/04/2019;1;710982;355491
11;ADMINISTRACION;XA0714:00036:;FSV-00001271;23/04/2019;1;1384864;665546
11;ADMINISTRACION;H01024:00096:00096;FSV-00001272;23/04/2019;1;1208739;604370
11;ADMINISTRACION;XA0187:00005:;FSV-00001273;29/04/2019;1;1745184;872592
11;ADMINISTRACION;XA0187:00005:;FSV-00001273;29/04/2019;2;1745184;872592
11;ADMINISTRACION;XA0695:00012:;FSV-00001273;29/04/2019;1;893590;469916
11;ADMINISTRACION;XA0700:00012:;FSV-00001273;29/04/2019;1;177882;88739
11;ADMINISTRACION;XA0193:00005:;FSV-00001274;29/04/2019;1;2471881;1276638
11;ADMINISTRACION;XA0365:00005:;FSV-00001274;29/04/2019;1;651573;423522
11;ADMINISTRACION;XY0254:00005:;FSV-00001274;29/04/2019;1;268907;174790
11;ADMINISTRACION;XZ0564:00005:;FSV-00001274;29/04/2019;4;867794;564066
11;ADMINISTRACION;XY0086:00005:;FSV-00001275;29/04/2019;1;375971;75194
11;ADMINISTRACION;XA0711:00036:;FSV-00001276;29/04/2019;1;1965084;940505
11;ADMINISTRACION;XZ0737:00001:;FSV-00001276;29/04/2019;1;1045737;470582
11;ADMINISTRACION;XZ0905:00005:;FSV-00001276;29/04/2019;1;621486;403966
11;ADMINISTRACION;XA0666:00189:;FSV-00001300;1/05/2019;1;175814;88080
11;ADMINISTRACION;XZ0335:00009:;FSV-00001300;1/05/2019;4;1344403;268881
11;ADMINISTRACION;XZ0484:00001:;FSV-00001300;1/05/2019;1;1118207;335462
11;ADMINISTRACION;XZ0526:00005:;FSV-00001301;3/05/2019;1;774661;309864
11;ADMINISTRACION;D00998:00072:00072;FSV-00001302;3/05/2019;1;738150;369075
11;ADMINISTRACION;XA0680:00005:;FSV-00001302;3/05/2019;1;2006454;1003227
11;ADMINISTRACION;XA0693:00118:;FSV-00001303;3/05/2019;1;805378;402689
11;ADMINISTRACION;XA0711:00036:;FSV-00001304;4/05/2019;1;1965084;940505
11;ADMINISTRACION;XA0714:00036:;FSV-00001304;4/05/2019;1;1384864;665546
11;ADMINISTRACION;XY0086:00005:;FSV-00001304;4/05/2019;1;375971;75194
11;ADMINISTRACION;XA0365:00005:;FSV-00001306;6/05/2019;1;651573;390944
11;ADMINISTRACION;XZ0565:00001:;FSV-00001306;6/05/2019;2;433897;260338
11;ADMINISTRACION;XZ0566:00009:;FSV-00001306;6/05/2019;1;433898;260340
11;ADMINISTRACION;XA0711:00036:;FSV-00001307;6/05/2019;1;1965084;940505
11;ADMINISTRACION;XA0711:00036:;FSV-00001309;8/05/2019;1;1965084;940505
11;ADMINISTRACION;XA0685:00029:;FSV-00001312;13/05/2019;1;2675620;1276638
11;ADMINISTRACION;XZ0737:00001:;FSV-00001312;13/05/2019;1;1045737;470582
11;ADMINISTRACION;XZ0863:00075:;FSV-00001312;13/05/2019;1;188922;75569
11;ADMINISTRACION;XA0696:00012:;FSV-00001313;13/05/2019;1;1189388;570756
11;ADMINISTRACION;XA0714:00036:;FSV-00001315;13/05/2019;1;1384864;665546
11;ADMINISTRACION;XA0714:00036:;FSV-00001316;15/05/2019;1;1384864;665546
11;ADMINISTRACION;D00985:00069:00069;FSV-00001317;15/05/2019;1;1275966;637983
11;ADMINISTRACION;XA0429:00009:;FSV-00001317;15/05/2019;1;78594;39297
11;ADMINISTRACION;XA0666:00189:;FSV-00001317;15/05/2019;1;175814;88080
11;ADMINISTRACION;XY0957:00005:;FSV-00001319;17/05/2019;1;164062;106640
11;ADMINISTRACION;XZ0411:00005:;FSV-00001319;17/05/2019;1;403334;100834
11;ADMINISTRACION;XZ0988:00005:;FSV-00001319;17/05/2019;1;670925;335462
11;ADMINISTRACION;XA0439:00009:;FSV-00001320;20/05/2019;1;92049;59832
11;ADMINISTRACION;XA0231:00001:;FSV-00001321;23/05/2019;1;1613410;604369
11;ADMINISTRACION;XA0224:00044:;FSV-00001322;23/05/2019;1;1198868;779264
11;ADMINISTRACION;XA0346:00009:;FSV-00001324;27/05/2019;1;1735478;867738
11;ADMINISTRACION;XZ0084:00005:;FSV-00001324;27/05/2019;1;774661;234622
11;ADMINISTRACION;XA0187:00005:;FSV-00001325;27/05/2019;1;872592;436296
11;ADMINISTRACION;XA0196:00005:;FSV-00001325;27/05/2019;1;1912346;956173
11;ADMINISTRACION;XZ0084:00005:;FSV-00001325;27/05/2019;1;774661;234622
11;ADMINISTRACION;XZ0141:00005:;FSV-00001325;27/05/2019;2;893370;402017
11;ADMINISTRACION;XZ0161:00005:;FSV-00001325;27/05/2019;1;157226;78613
11;ADMINISTRACION;XZ0478:00005:;FSV-00001326;27/05/2019;2;391021;117306
11;ADMINISTRACION;XZ0478:00005:;FSV-00001326;27/05/2019;10;1955099;586530
11;ADMINISTRACION;XA0681:00005:;FSV-00001327;27/05/2019;1;1683413;841706
11;ADMINISTRACION;XA0581:00009:;FSV-00001328;27/05/2019;1;381642;190821
11;ADMINISTRACION;XA0695:00012:;FSV-00001328;27/05/2019;1;893590;446794
11;ADMINISTRACION;D00538:00065:00065;FSV-00001329;28/05/2019;1;1343194;671597
11;ADMINISTRACION;XA0080-1:00018:;FSV-00001330;28/05/2019;1;1630860;815430
11;ADMINISTRACION;XA0347:00009:;FSV-00001330;28/05/2019;1;2068509;1034254
11;ADMINISTRACION;XY0864:00044:;FSV-00001332;29/05/2019;1;1045737;470582
11;ADMINISTRACION;XA0345:00009:;FSV-00001333;29/05/2019;1;1003222;501611
11;ADMINISTRACION;XA0346:00009:;FSV-00001333;29/05/2019;1;1735478;867738
11;ADMINISTRACION;XA0347:00009:;FSV-00001333;29/05/2019;1;2068509;1034254
11;ADMINISTRACION;XZ0139:00005:;FSV-00001333;29/05/2019;1;670028;134006
11;ADMINISTRACION;XZ0106:00005:;FSV-00001356;1/06/2019;1;320000;80000
11;ADMINISTRACION;XZ0837:00018:;FSV-00001356;1/06/2019;1;235261;47052
11;ADMINISTRACION;XZ0490:00026:;FSV-00001357;6/06/2019;1;366380;146552
11;ADMINISTRACION;XA0383:00005:;FSV-00001358;7/06/2019;1;501606;326044
11;ADMINISTRACION;XA0384:00005:;FSV-00001358;7/06/2019;4;864600;561990
11;ADMINISTRACION;D00512:00072:00072;FSV-00001359;11/06/2019;1;1462577;738756
11;ADMINISTRACION;XA0534:00040:;FSV-00001359;11/06/2019;1;1240078;806050
11;ADMINISTRACION;XA0346:00009:;FSV-00001360;11/06/2019;1;1735478;738824
11;ADMINISTRACION;XA0347:00009:;FSV-00001360;11/06/2019;1;2068509;940503
11;ADMINISTRACION;D00904:00009:00009;FSV-00001361;11/06/2019;1;657696;394618
11;ADMINISTRACION;D00919:00075:00075;FSV-00001361;11/06/2019;1;1387141;832285
11;ADMINISTRACION;XA0705:00036:;FSV-00001361;11/06/2019;1;260623;169405
11;ADMINISTRACION;XA0648:00009:;FSV-00001362;11/06/2019;2;308210;200336
11;ADMINISTRACION;XZ0139:00005:;FSV-00001362;11/06/2019;1;670028;134006
11;ADMINISTRACION;XZ0566:00009:;FSV-00001362;11/06/2019;4;867794;564066
11;ADMINISTRACION;XZ0896:00024:;FSV-00001362;11/06/2019;2;433897;282033
11;ADMINISTRACION;XZ0897:00044:;FSV-00001362;11/06/2019;1;906880;589472
11;ADMINISTRACION;XA0708:00046:;FSV-00001363;11/06/2019;1;1361075;537142
11;ADMINISTRACION;XZ0248:00009:;FSV-00001364;11/06/2019;4;656247;426561
11;ADMINISTRACION;XA0346:00009:;FSV-00001368;13/06/2019;1;1735478;738824
11;ADMINISTRACION;XA0671:00005:;FSV-00001370;26/06/2019;3;2012773;784538
11;ADMINISTRACION;D00921:00128:00008;FSV-00001371;26/06/2019;1;1499127;738824
11;ADMINISTRACION;XA0520:00009:;FSV-00001372;27/06/2019;1;967349;335462
11;ADMINISTRACION;XA0520:00009:;FSV-00001380;29/06/2019;1;967349;335462
11;ADMINISTRACION;XA0671:00005:;FSV-00001380;29/06/2019;2;1341849;523026
11;ADMINISTRACION;XZ0838:00001:;FSV-00001380;29/06/2019;1;274770;68692
11;ADMINISTRACION;XA0193:00005:;FSV-00001394;2/07/2019;1;2471880;940503
11;ADMINISTRACION;XA0581:00009:;FSV-00001395;2/07/2019;1;381642;228985
11;ADMINISTRACION;XZ0106:00005:;FSV-00001395;2/07/2019;1;320000;80000
11;ADMINISTRACION;H01025:00097:00097;FSV-00001396;2/07/2019;1;1423866;711933
11;ADMINISTRACION;XA0706:00005:;FSV-00001396;2/07/2019;1;171677;85983
11;ADMINISTRACION;XA0193:00005:;FSV-00001397;2/07/2019;1;2471880;940503
11;ADMINISTRACION;XA0677:00117:;FSV-00001397;2/07/2019;1;806713;335462
11;ADMINISTRACION;XA0368:00019:;FSV-00001398;3/07/2019;1;864899;402690
11;ADMINISTRACION;XZ0838:00001:;FSV-00001398;3/07/2019;1;274770;68692
11;ADMINISTRACION;D00963:00063:00063;FSV-00001399;3/07/2019;1;1124104;618218
11;ADMINISTRACION;D05307:00097:00097;FSV-00001400;4/07/2019;1;3382182;1276638
11;ADMINISTRACION;XA0641:00066:;FSV-00001402;5/07/2019;1;1033226;469916
11;ADMINISTRACION;XA0673:00001:;FSV-00001403;5/07/2019;2;2683698;1046052
11;ADMINISTRACION;XA0515:00001:;FSV-00001404;5/07/2019;1;213782;106891
11;ADMINISTRACION;XA0672:00009:;FSV-00001405;5/07/2019;1;670924;261513
11;ADMINISTRACION;XA0383:00005:;FSV-00001406;5/07/2019;1;501606;246578
11;ADMINISTRACION;XA0384:00005:;FSV-00001406;5/07/2019;4;864600;425018
11;ADMINISTRACION;D00017:00065:00065;FSV-00001407;5/07/2019;1;1275966;604369
11;ADMINISTRACION;D00018:00065:00065;FSV-00001407;5/07/2019;1;1411765;705210
11;ADMINISTRACION;XA0671:00005:;FSV-00001408;5/07/2019;1;1341848;523026
11;ADMINISTRACION;XA0671:00005:;FSV-00001408;5/07/2019;2;1341849;523026
11;ADMINISTRACION;XA0671:00005:;FSV-00001408;5/07/2019;3;8051092;3138152
11;ADMINISTRACION;XA0671:00005:;FSV-00001408;5/07/2019;4;2683698;1046052
11;ADMINISTRACION;XA0368:00019:;FSV-00001410;8/07/2019;1;864899;402690
11;ADMINISTRACION;XA0533:00040:;FSV-00001414;8/07/2019;1;929799;557879
11;ADMINISTRACION;XA0535:00065:;FSV-00001414;8/07/2019;1;309244;154622
11;ADMINISTRACION;XA0579:00186:;FSV-00001414;8/07/2019;4;806669;403334
11;ADMINISTRACION;XA0640:00046:;FSV-00001415;8/07/2019;1;1033226;469916
11;ADMINISTRACION;XA0713:00028:;FSV-00001415;8/07/2019;1;174779;113606
11;ADMINISTRACION;D00530:00063:00063;FSV-00001416;8/07/2019;1;1477647;738823
11;ADMINISTRACION;XA0368:00019:;FSV-00001416;8/07/2019;1;864899;402690
11;ADMINISTRACION;XZ0139:00005:;FSV-00001417;9/07/2019;1;670028;134006
11;ADMINISTRACION;XZ0839:00005:;FSV-00001417;9/07/2019;1;154134;30827
11;ADMINISTRACION;XA0676:00009:;FSV-00001418;9/07/2019;1;1230769;615384
11;ADMINISTRACION;XA0515:00001:;FSV-00001419;10/07/2019;1;213782;106891
11;ADMINISTRACION;XA0533:00040:;FSV-00001421;11/07/2019;2;1859599;1115759
11;ADMINISTRACION;XA0535:00065:;FSV-00001421;11/07/2019;7;2164706;1082353
11;ADMINISTRACION;XA0579:00186:;FSV-00001421;11/07/2019;14;2823341;1411670
11;ADMINISTRACION;XA0368:00019:;FSV-00001422;11/07/2019;22;19027789;8859167
11;ADMINISTRACION;XA0080-1:00018:;FSV-00001423;15/07/2019;1;1630860;733887
11;ADMINISTRACION;XA0538:00061:;FSV-00001425;17/07/2019;1;981513;441681
11;ADMINISTRACION;D05307:00095:00095;FSV-00001427;18/07/2019;1;3382181;1691090
11;ADMINISTRACION;D01291:00396:00396;FSV-00001430;22/07/2019;1;470343;221177
11;ADMINISTRACION;XZ0498:00009:;FSV-00001431;22/07/2019;1;2406430;962572
11;ADMINISTRACION;XA0697:00058:;FSV-00001432;23/07/2019;1;1189388;535225
11;ADMINISTRACION;D01291:00396:00396;FSV-00001433;23/07/2019;1;470343;221177
11;ADMINISTRACION;XA0237:00005:;FSV-00001435;24/07/2019;1;805635;362536
11;ADMINISTRACION;D00016:00081:00096;FSV-00001437;24/07/2019;1;605042;393278
11;ADMINISTRACION;D00953:00062:00065;FSV-00001438;24/07/2019;8;5152269;2145884
11;ADMINISTRACION;D00010:00151:;FSV-00001443;25/07/2019;1;1875630;732773
11;ADMINISTRACION;XA0539:00061:;FSV-00001444;29/07/2019;1;722689;325378
11;ADMINISTRACION;H01024:00096:00096;FSV-00001447;29/07/2019;1;1208739;604370
11;ADMINISTRACION;H01025:00096:00096;FSV-00001447;29/07/2019;1;1423866;711933
11;ADMINISTRACION;D00985:00069:00069;FSV-00001449;29/07/2019;1;1275966;637983
11;ADMINISTRACION;D01254:00096:00096;FSV-00001449;29/07/2019;1;1813782;906891
11;ADMINISTRACION;XA0581:00009:;FSV-00001449;29/07/2019;1;381642;228985
11;ADMINISTRACION;XA0583:00005:;FSV-00001449;29/07/2019;1;235800;141480
11;ADMINISTRACION;XA0692:00183:;FSV-00001449;29/07/2019;1;361981;162891
11;ADMINISTRACION;XA0532:00009:;FSV-00001450;29/07/2019;1;3361345;1680672
11;ADMINISTRACION;XA0414:00026:;FSV-00001451;29/07/2019;5;1908208;1144925
11;ADMINISTRACION;XA0674:00029:;FSV-00001452;29/07/2019;1;878086;570756
11;ADMINISTRACION;XA0709:00092:;FSV-00001453;29/07/2019;1;3826751;2296050
11;ADMINISTRACION;D01291:00128:00128;FSV-00001455;30/07/2019;1;517378;243294
11;ADMINISTRACION;D00921:00128:00008;FSV-00001455;30/07/2019;1;1499127;738824
11;ADMINISTRACION;XZ0887:00015:;FSV-00001455;30/07/2019;1;211298;105546
11;ADMINISTRACION;XA0696:00012:;FSV-00001456;30/07/2019;1;1189388;535225
11;ADMINISTRACION;XA0371:00082:;FSV-00001457;30/07/2019;4;656247;426561
11;ADMINISTRACION;XA0542:00026:;FSV-00001457;30/07/2019;1;505754;227589
11;ADMINISTRACION;XY0316:00005:;FSV-00001476;1/08/2019;1;206841;62052
11;ADMINISTRACION;XZ0139:00005:;FSV-00001477;5/08/2019;1;670028;134006
11;ADMINISTRACION;XA0437:00005:;FSV-00001480;9/08/2019;6;546026;273013
11;ADMINISTRACION;XA0368:00019:;FSV-00001481;9/08/2019;1;2594697;1167615
11;ADMINISTRACION;XA0368:00019:;FSV-00001481;9/08/2019;2;3459598;1556820
11;ADMINISTRACION;XA0368:00019:;FSV-00001481;9/08/2019;4;3459597;1556818
11;ADMINISTRACION;XA0368:00019:;FSV-00001481;9/08/2019;6;10378794;4670458
11;ADMINISTRACION;XA0368:00019:;FSV-00001481;9/08/2019;10;8648995;3892048
11;ADMINISTRACION;XA0368:00019:;FSV-00001482;9/08/2019;1;864899;389205
11;ADMINISTRACION;XA0368:00019:;FSV-00001482;9/08/2019;2;1729799;778410
11;ADMINISTRACION;XA0368:00019:;FSV-00001482;9/08/2019;20;17297990;7784095
11;ADMINISTRACION;XA0695:00012:;FSV-00001483;12/08/2019;1;893590;580834
11;ADMINISTRACION;XA0533:00040:;FSV-00001484;13/08/2019;1;929801;418410
11;ADMINISTRACION;XA0170:00108:;FSV-00001485;14/08/2019;1;1031024;309282
11;ADMINISTRACION;XA0554:00014:;FSV-00001487;15/08/2019;1;1033226;464951
11;ADMINISTRACION;D00985:00081:00081;FSV-00001488;15/08/2019;1;1275966;637983
11;ADMINISTRACION;XA0740:00046:;FSV-00001489;20/08/2019;2;310258;201667
11;ADMINISTRACION;XA0742:00011:;FSV-00001490;20/08/2019;1;515630;335159
11;ADMINISTRACION;XA0743:00011:;FSV-00001490;20/08/2019;4;893558;580813
11;ADMINISTRACION;XA0080-1:00018:;FSV-00001491;20/08/2019;1;1630859;978515
11;ADMINISTRACION;XA0395:00046:;FSV-00001491;20/08/2019;2;380587;228352
11;ADMINISTRACION;XA0189:00001:;FSV-00001492;20/08/2019;1;872592;436296
11;ADMINISTRACION;D00918:00013:00013;FSV-00001493;22/08/2019;1;1348142;876292
